binary;function;function count;common linux file;networking;
/bin/ntfs-3g (-rwxr-xr-x root root);popen;1;true;no;
/bin/pppoe (-rwxr-xr-x root root);strcat;1;true;yes;
/bin/routed (-rwxr-xr-x root root);popen;1;false;yes;
/bin/tc (-rwxr-xr-x root root);mmap;1;true;yes;
/bin/disktype (-rwxr-xr-x root root);popen;1;false;no;
/bin/pppoe-relay (-rwxr-xr-x root root);printf;1;true;yes;
/bin/pppoe-server (-rwxr-xr-x root root);printf;1;true;yes;
/bin/pptp (-rwxr-xr-x root root);popen;1;true;yes;
/bin/pppoe (-rwxr-xr-x root root);strcpy;1;true;yes;
/bin/pppd (-rwxr-xr-x root root);mmap;1;true;yes;
/bin/nmbd (-rwxr-xr-x root root);popen;1;true;yes;
/bin/disktype (-rwxr-xr-x root root);printf;1;false;no;
/sbin/dnsmasq (-rwxr-xr-x root root);fprintf;1;true;yes;
/bin/pppoe-relay (-rwxr-xr-x root root);sprintf;1;true;yes;
/bin/routed (-rwxr-xr-x root root);printf;1;false;yes;
/bin/pppoe-server (-rwxr-xr-x root root);sprintf;1;true;yes;
/bin/pppoe (-rwxr-xr-x root root);system;1;true;yes;
/bin/wscd (-rwxr-xr-x root root);strcat;1;false;yes;
/bin/ip6tables (-rwxr-xr-x root root);strcat;1;true;no;
/bin/iptables (-rwxr-xr-x root root);mmap;1;true;no;
/bin/disktype (-rwxr-xr-x root root);sprintf;1;false;no;
/bin/pppoe-relay (-rwxr-xr-x root root);strcat;1;true;yes;
/bin/pptp (-rwxr-xr-x root root);printf;1;true;yes;
/bin/ip (-rwxr-xr-x root root);mmap;1;true;yes;
/bin/pppoe-server (-rwxr-xr-x root root);strcat;1;true;yes;
/bin/routed (-rwxr-xr-x root root);sprintf;1;false;yes;
/bin/tc (-rwxr-xr-x root root);popen;1;true;yes;
/bin/pppoe-relay (-rwxr-xr-x root root);strcpy;1;true;yes;
/bin/disktype (-rwxr-xr-x root root);strcat;1;false;no;
/sbin/dnsmasq (-rwxr-xr-x root root);mmap;1;true;yes;
/bin/pptp (-rwxr-xr-x root root);sprintf;1;true;yes;
/bin/pppoe-server (-rwxr-xr-x root root);strcpy;1;true;yes;
/bin/disktype (-rwxr-xr-x root root);strcpy;1;false;no;
/bin/pppoe-relay (-rwxr-xr-x root root);system;1;true;yes;
/bin/routed (-rwxr-xr-x root root);strcat;1;false;yes;
/bin/ip6tables (-rwxr-xr-x root root);strcpy;1;true;no;
/bin/iptables (-rwxr-xr-x root root);popen;1;true;no;
/bin/smbd (-rwxr-xr-x root root);mmap;1;true;yes;
/bin/wscd (-rwxr-xr-x root root);strcpy;1;false;yes;
/sbin/mtd_write (-rwxr-xr-x root root);fprintf;1;false;no;
/bin/pppd (-rwxr-xr-x root root);popen;1;true;yes;
/bin/disktype (-rwxr-xr-x root root);system;1;false;no;
/bin/pppoe-server (-rwxr-xr-x root root);system;1;true;yes;
/bin/pptp (-rwxr-xr-x root root);strcat;1;true;yes;
/sbin/mtd_write (-rwxr-xr-x root root);mmap;1;false;no;
/bin/ntfs-3g (-rwxr-xr-x root root);printf;1;true;no;
/bin/ip (-rwxr-xr-x root root);popen;1;true;yes;
/bin/tc (-rwxr-xr-x root root);printf;1;true;yes;
/bin/routed (-rwxr-xr-x root root);strcpy;1;false;yes;
/sbin/dnsmasq (-rwxr-xr-x root root);popen;1;true;yes;
/sbin/lanmapd2 (-rwxr-xr-x root root);fprintf;1;false;yes;
