binary;function;function count;common linux file;networking;
/usr/lib/libFVsystem.so (-rw-r--r-- root root);strcpy;7;false;no;
/usr/lib/libcfgbackup.so (-rw-r--r-- root root);system;1;false;no;
/web/httpd (-rwxr-xr-x root root);fprintf;194;true;no;
/web/cgi-bin/config/wps.cgi (-rwxr-xr-x root root);fprintf;2;false;no;
/usr/lib/libHttpNotify.so (-rw-r--r-- root root);strcat;1;false;no;
/usr/lib/libFVwireless.so (-rw-r--r-- root root);strcpy;41;false;no;
/usr/lib/libweb.so.0 (-rwxr-xr-x root root);strcpy;14;false;no;
/web/cgi-bin/config/upnp.cgi (-rwxr-xr-x root root);system;4;false;no;
/usr/lib/libFVmtd.so (-rw-r--r-- root root);system;1;false;no;
/web/cgi-bin/config/irled.cgi (-rwxr-xr-x root root);fprintf;2;false;no;
/usr/lib/libcfg.so (-rw-r--r-- root root);system;6;false;no;
/usr/lib/libRingBuf.so (-rw-r--r-- root root);strcpy;1;false;no;
/web/cgi-bin/config/video.cgi (-rwxr-xr-x root root);fprintf;17;false;no;
/usr/lib/libFVsystem.so (-rw-r--r-- root root);system;5;false;no;
/web/cgi-bin/config/system_reset.cgi (-rwxr-xr-x root root);fprintf;2;false;no;
/web/httpd (-rwxr-xr-x root root);mmap;1;true;no;
/web/cgi-bin/config/wireless.cgi (-rwxr-xr-x root root);fprintf;28;false;no;
/usr/lib/libFVwireless.so (-rw-r--r-- root root);system;3;false;no;
/web/cgi-bin/config/rtspurl.cgi (-rwxr-xr-x root root);fprintf;2;false;no;
/usr/lib/libHttpNotify.so (-rw-r--r-- root root);strcpy;2;false;no;
/usr/lib/libweb.so.0 (-rwxr-xr-x root root);system;5;false;no;
/web/cgi-bin/config/wlansignal.cgi (-rwxr-xr-x root root);fprintf;1;false;no;
/web/cgi-bin/config/irled.cgi (-rwxr-xr-x root root);system;4;false;no;
/web/cgi-bin/config/system_reboot.cgi (-rwxr-xr-x root root);fprintf;2;false;no;
/web/cgi-bin/config/video.cgi (-rwxr-xr-x root root);sprintf;3;false;no;
/web/cgi-bin/config/audio.cgi (-rwxr-xr-x root root);fprintf;18;false;no;
/web/cgi-bin/config/system_reset.cgi (-rwxr-xr-x root root);system;1;false;no;
/web/httpd (-rwxr-xr-x root root);sprintf;9;true;no;
/web/cgi-bin/config/group_list.cgi (-rwxr-xr-x root root);fprintf;2;false;no;
/web/cgi-bin/config/wireless.cgi (-rwxr-xr-x root root);sprintf;2;false;no;
/web/cgi-bin/config/camera_info.cgi (-rwxr-xr-x root root);fprintf;2;false;no;
/web/cgi-bin/config/rtspurl.cgi (-rwxr-xr-x root root);system;1;false;no;
/web/cgi-bin/config/icr.cgi (-rwxr-xr-x root root);fprintf;7;false;no;
/web/cgi-bin/config/ddns.cgi (-rwxr-xr-x root root);fprintf;6;false;no;
/web/cgi-bin/config/video.cgi (-rwxr-xr-x root root);system;2;false;no;
/web/cgi-bin/config/httpport.cgi (-rwxr-xr-x root root);fprintf;1;false;no;
/web/httpd (-rwxr-xr-x root root);strcpy;8;true;no;
/web/cgi-bin/config/audio.cgi (-rwxr-xr-x root root);system;1;false;no;
/web/cgi-bin/config/notify.cgi (-rwxr-xr-x root root);fprintf;14;false;no;
/web/cgi-bin/config/wireless.cgi (-rwxr-xr-x root root);strcpy;2;false;no;
/web/cgi-bin/config/group_list.cgi (-rwxr-xr-x root root);strcpy;3;false;no;
/web/cgi-bin/config/https.cgi (-rwxr-xr-x root root);fprintf;2;false;no;
/web/cgi-bin/config/camera_info.cgi (-rwxr-xr-x root root);system;2;false;no;
/web/cgi-bin/config/event_log.cgi (-rwxr-xr-x root root);fprintf;1;false;no;
/web/cgi-bin/config/icr.cgi (-rwxr-xr-x root root);sprintf;1;false;no;
/web/cgi-bin/config/ddns.cgi (-rwxr-xr-x root root);strcpy;1;false;no;
/web/cgi-bin/config/datetime.cgi (-rwxr-xr-x root root);fprintf;13;false;no;
/web/cgi-bin/config/httpport.cgi (-rwxr-xr-x root root);system;1;false;no;
/web/cgi-bin/config/mic.cgi (-rwxr-xr-x root root);fprintf;2;false;no;
/web/httpd (-rwxr-xr-x root root);system;1;true;no;
/web/cgi-bin/config/network.cgi (-rwxr-xr-x root root);fprintf;17;false;no;
/web/cgi-bin/config/wireless.cgi (-rwxr-xr-x root root);system;1;false;no;
/web/cgi-bin/config/stream_auth.cgi (-rwxr-xr-x root root);fprintf;2;false;no;
/web/cgi-bin/config/https.cgi (-rwxr-xr-x root root);system;1;false;no;
/web/cgi-bin/config/pppoe.cgi (-rwxr-xr-x root root);fprintf;2;false;no;
/web/cgi-bin/config/event_log.cgi (-rwxr-xr-x root root);sprintf;1;false;no;
/web/cgi-bin/config/icr.cgi (-rwxr-xr-x root root);system;11;false;no;
/web/cgi-bin/config/sensor_info.cgi (-rwxr-xr-x root root);fprintf;20;false;no;
/web/cgi-bin/config/ddns.cgi (-rwxr-xr-x root root);system;1;false;no;
